title,series_launch_year,season_count,total,average,1s,2s,3s,4s,5s
BOCCHITHEROCK!,2022,1,36086,4.9,259,129,375,1.5,22.3
BOFURI:IDon'tWanttoGetHurt,2022,2,31087,4.8,77,38,91,388,5.5
Boku-no-imoutowa\Osaka-okan\,2012,1,126,3.5,37,35,127,414,949
BONJOUR?SweetLovePatisserie,2014,1,1006,4,274,159,605,2.4,24.6
BONOBONO,2016,2,76,4.1,363,310,668,1.3,3.4
BoogiepopandOthers,2019,1,886,4.3,25,29,69,155,550
BORUTO:NARUTONEXTGENERATIONS,2017,1,61438,3.5,238,57,178,434,1.2
Bottom-TierCharacterTomozaki,2022,1,4881,4.6,51,47,103,254,743
BraveWitches,2016,1,417,4.2,27,11,59,237,2.1
BreakUps,2011,1,426,3.8,233,203,354,595,2.4
BrothersConflict,2017,1,1834,3.9,3.8,1,2.3,8.1,198.1
BrynhildrintheDarkness,2014,1,1526,4.3,75,15,38,116,979
BuddyComplex,2017,1,223,4.2,25,5,9,7,32
BuddyDaddies,2023,1,31765,4.9,237,158,389,740,3
BUILD-DIVIDE-#000000-CODEBLACK,2021,2,1636,3.8,557,169,331,673,2.4
BULLBUSTER,2023,1,860,3.9,100,53,123,208,1.2
BungoandAlchemist-GearsofJudgement-,2022,1,551,4.2,46,28,75,137,341
BungoStrayDogs,2016,6,44742,4.8,43,21,121,376,2.6
BungoStrayDogsWAN!,2021,1,4130,4.9,130,46,69,145,1.4
BureauofParanormalInvestigation,2022,1,1395,4.1,81,12,34,68,682
BURNTHEWITCH,2020,1,5441,4.5,19,4,13,16,310
BurningKabaddi,2021,1,2062,4.6,243,239,894,3.3,18.3
Butareba-TheStoryofaManTurnedintoaPig-,2023,1,2602,3.7,28,5,5,2,20
ButlersXBattlers,2018,1,226,3.7,47,12,54,328,4.3
BytheGraceoftheGods,2022,2,23905,4.7,168,85,174,205,436
C3Anime,2018,1,322,4.1,1.1,52,37,37,351
Caligula,2018,1,405,3.6,23,10,27,26,42
CalltoCosplay,2015,1,111,1.5,170,175,581,1.7,5.7
CampfireCookinginAnotherWorldwithMyAbsurdSkill,2023,1,47075,4.9,33,21,102,223,471
Campione!,2012,1,2704,4.6,625,565,1.4,3.7,29.7
Canvas2:NijiIronoSketch,2010,1,351,4.2,77,55,226,946,4
CaptainTsubasa:JuniorYouthArc,2023,1,1539,4.8,26,18,42,82,229
CardcaptorSakura:ClearCard,2017,1,2761,4.8,2.8,595,1.1,2.1,9.1
CARDFIGHT!!VANGUARD,2018,1,252,4.2,305,214,515,1.2,18
CARDFIGHT!!VANGUARDoverDress,2022,4,1292,3.6,401,81,187,698,15.4
CaseClosed(DetectiveConan),2021,1,5330,4.7,44,16,48,29,74
Casefilen221:Kabukicho,2022,1,283,4.1,258,176,275,298,526
CasshernSins,2022,1,629,4.5,169,79,115,425,4
CautiousHero:TheHeroisOverpoweredbutOverlyCautious,2022,1,16244,4.7,23,20,60,135,525
Cerberus,2016,1,1142,3.3,1.8,861,2,7.1,93.3
CESTVS-TheRomanFighter-,2021,1,905,4,953,594,1.7,5.1,37.9
Chaika–TheCoffinPrincess-,2014,2,1440,4.5,41,49,132,318,733
