title,series_launch_year,season_count,total,average,1s,2s,3s,4s,5s
Howclumsyyouare,2022,1,936,4.3,9,19,47,123,374
HowHeavyAretheDumbbellsYouLift?,2018,3,4430,4.7,27,14,32,100,584
HowNottoSummonaDemonLord,2018,1,27927,4.6,51,4,13,29,134
HowtoKeepaMummy,2023,1,3719,4.8,84,44,63,41,104
HulaFullaDance,2016,1,157,4.4,25,38,82,169,471
Hundred,2016,1,5670,4.4,42,13,34,77,167
HybridxHeartMagiasAcademyAtaraxia,2018,1,2957,4.3,13,10,27,68,319
Hyouka,2017,1,7748,4.7,205,69,92,102,294
HyperdimensionNeptunia,2022,2,527,4.2,72,34,91,300,1.8
HYPNOSISMIC-DivisionRapBattle-RhymeAnima,2014,2,818,4.2,465,385,962,2.6,16.6
ICan'tUnderstandWhatMyHusbandIsSaying,2013,1,2503,4.6,68,50,98,224,559
ICouldn’tBecomeaHero,2023,1,2795,4.3,106,71,211,714,2.3
IGotaCheatSkillinAnotherWorldandBecameUnrivaledinTheRealWorld,2023,1,68645,4.5,5.8,1.3,2.3,4.1,18.7
IShallSurviveUsingPotions!,2023,1,3327,4.5,352,17,14,61,429
I'mGivingtheDisgracedNobleLadyIRescuedaCrashCourseinNaughtiness,2023,1,5840,4.6,36,16,78,253,737
I'minLovewiththeVillainess,2022,1,8594,4.6,29,27,58,64,145
I'MKODAMAKAWASHIRI,2020,1,667,3.4,13,7,33,64,180
I'mStandingonaMillionLives,2022,1,11225,4.2,61,54,181,1.2,4.6
I'mtheVillainess,2021,1,27537,4.8,35,3,5,7,69
I'veBeenKillingSlimesFor300YearsAndMaxedOutMyLevel,2022,1,20907,4.5,69,23,63,177,1.2
ID:INVADED,2017,1,3602,4.7,8,5,14,23,90
IdolIncidents,2021,1,114,3.9,213,29,59,222,12.8
IdolTimePripara,2023,4,143,4.4,35,33,81,217,1.1
IDOLiSH7,2021,1,1892,4.7,248,95,229,563,3.1
Idolls!,2019,1,83,3.1,618,332,996,4.8,93.2
IfIt'sforMyDaughter,2022,1,9292,4.6,50,24,68,279,4.4
IfMyFavoritePopIdolMadeIttotheBudokan,2016,1,560,4.6,207,131,363,882,3.1
IidaTokimekiTrip,2022,1,40,3.3,13,6,3,1,18
IkebukuroWestGatePark,2021,1,745,4.5,89,46,172,570,2.5
IkkiTousen,2017,2,1443,4,32,25,109,312,571
InAnotherWorldWithMySmartphone,2018,1,35721,4.4,196,43,68,130,838
InSearchoftheLostFuture,2022,1,225,3.8,21,8,7,3,24
IntheHeartofKunoichiTsubaki,2022,1,2097,4.3,502,204,658,2.4,22.8
IntheLandofLeadale,2020,2,21300,4.6,73,44,195,578,3.3
In/Spectre,2021,1,13157,4.4,9.3,284,237,230,1.3
INAZMADELIVERY,2015,1,97,4,1.6,291,655,1.8,27.7
InfernoCop,2022,1,466,4.3,562,414,1,2.5,5.8
InfiniteDendrogram,2017,1,4510,4.5,84,40,86,265,1.5
InterviewsWithMonsterGirls,2014,1,5458,4.7,21,2,2,4,67
Inugami-santoNekoyama-san,2015,1,626,4.4,67,26,66,103,403
InvestorZ(MotionManga),2023,1,65,3.5,28,12,13,15,31
Irina:TheVampireCosmonaut,2023,1,2150,4.7,16,22,44,108,329
Irodorimidori,2015,1,119,4,51,44,166,609,3.7
IsItWrongtoTrytoPickUpGirlsinaDungeon?,2019,1,31607,4.7,39,24,91,319,2.6
IsekaiCheatMagician,2018,1,15979,3.8,166,74,203,566,2.7
IsekaiIzakaya:JapaneseFoodFromAnotherWorld,2019,3,2299,4.7,17,14,61,220,1.9
ISEKAIQUARTET,2018,1,3334,4.7,47,46,101,366,1
ISLAND,2015,1,875,4.1,582,368,1.1,4.3,71.4
ISUCA,2020,1,649,3.8,104,97,215,357,682
Iwakakeru-SportClimbingGirls-,2012,1,1773,4.4,209,182,505,2.2,21
IxionSagaDT,2016,1,681,4,44,32,80,181,599
Izetta:TheLastWitch,2021,1,2146,4.3,86,44,197,628,3.5
I?CHU,2017,1,213,4.2,785,520,1.5,4.2,20.9
JapaConPresents:AgentHaZAP,2008,3,38,2.2,49,35,85,293,3.3
JapaneseAnimeClassicCollection,2018,1,101,3.5,11,3,8,33,102
Jingai-sannoYome,2015,1,1703,4.3,202,188,481,1.2,3.6
JK-MESHI!,2021,6,99,2.9,205,92,212,432,2
JoJo'sBizarreAdventure,2016,1,41177,4.8,103,85,255,800,6.5
JOKERGAME,2021,1,1059,4.4,51,25,40,67,344
JORANTHEPRINCESSOFSNOWANDBLOOD,2019,1,1471,4.2,113,28,29,52,596
JoshiKausei,2020,3,502,4.1,65,50,150,409,1.8
JUJUTSUKAISEN,2017,1,271960,4.9,123,65,243,649,1.7
JUNITAISEN?ZODIACWAR,2018,1,3462,4.1,3.2,2,3.4,6.3,53.7
JunjiItoCollection,2017,1,5348,4.5,140,108,186,415,2.5
JunjoRomantica3,2009,2,1589,4.7,211,103,228,495,4.8
KaasanMom'sLife,2019,2,1258,4.5,502,92,205,452,7.3
KabanerioftheIronFortress,2017,1,8150,4.6,164,46,71,98,288
KADO:TheRightAnswer,2022,1,804,4,525,459,1.1,2.8,6.3
KagekiShojo!!,2015,2,847,4.7,327,245,841,2.9,23.2
KAGEWANI,2021,2,250,4.2,506,470,1.4,3.5,15.1
KAGINADO,2019,3,361,4.4,45,46,106,452,3
KAGUYA-SAMA:LOVEISWAR,2016,2,69703,4.9,14,10,12,18,60
KAIJUGIRLS,2023,1,130,3.7,15,4,4,7,113
KainaoftheGreatSnowSea,2018,1,2504,4.5,76,13,31,97,1.7
Kakuriyo-Bed\u0026BreakfastforSpirits-,2022,2,9879,4.8,23,10,12,11,27
Kakushigoto,2023,1,2445,4.7,308,129,371,1.1,7.3
KamiErabiGOD.app,2014,1,1650,3.2,16,14,21,74,435
KamigaminoAsobi,2023,1,2200,4.5,12,4,4,1,19
KamiKatsu:WorkingforGodinaGodlessWorld,2011,1,19224,4.3,30,12,46,102,555
KamisamaDolls,2022,1,914,4.3,217,46,117,240,823
KamisamaHajimemashita,2015,2,15397,4.9,2.5,1.3,2.4,4.8,24.9
KanColle,2022,1,1045,4.2,33,9,22,58,103
Kanon,2018,1,555,4.6,140,57,161,349,1.4
KARAKAIJOZUNOTAKAGI-SAN,2016,1,6005,4.8,404,423,1.2,3.4,15.8
Karneval,2020,1,989,4.5,412,402,1.1,2.6,8.7
KatanaMaidens-Tomoshibi,2019,1,156,4.1,13,5,8,15,56
KatanaMaidens~MiniToji,2018,1,50,3.9,41,16,40,49,320
KatanaMaidens~TojiNoMiko,2023,1,556,4.3,97,102,339,870,3.1
KAWAGOEBOYSSING-NoworNever-,2020,1,342,3.6,47,53,225,737,4.4
KeepYourHandsOffEizouken!,2016,1,3845,4.8,18,20,65,123,400
Keijo!!!!!!!!,2011,1,3896,4.4,18,4,5,5,33
KemekoDX,2017,2,359,4,32,29,104,284,1.7
KemonoFriends,2022,1,325,4.3,10,8,18,20,63
KemonoJihen,2022,1,6564,4.8,890,301,1,3.3,26.1
KemonoMichi:RiseUp,2017,1,2269,4.4,2,1.1,2,3.3,7.6
KenkaBanchoOtome-GirlBeatsBoys-,2016,1,2461,4.4,41,28,80,252,1.9
Kiitaro'syokaipicturediary,2013,1,195,4.2,76,35,128,345,2.8
KilllaKill,2019,1,12676,4.7,63,53,110,190,459
KINGOFPRISM-ShinySevenStars-,2017,1,109,3.4,45,72,107,167,258
KingofThorn,2023,1,955,4.1,84,37,136,323,1.2
King'sGame,2022,4,3992,3.1,74,46,67,136,358
KING'sRAID:SuccessorsoftheWill,2017,1,1165,4,89,76,198,499,1.3
Kingdom,2020,1,8081,4.8,17,9,21,25,141
Kino'sJourney-theBeautifulWorld-theAnimatedSeries,2020,1,3287,4.7,24,2,1,1,10
KIRAKIRA?PRETTYCUREALAMODE,2021,1,422,4.5,23,6,13,16,43
KirattoPri?chan,2015,2,135,4.3,136,66,123,267,1.1
KiyoinKyoto:FromtheMaikoHouse,2019,1,512,4.7,31,14,16,13,25
KIZNAIVER,2023,1,3174,4.5,1.4,309,672,2.1,36.7
KizunaAI1stLive\hello,2017,1,209,4,48,30,73,212,696
KizunanoAllele,2022,2,1104,2.8,74,75,192,320,810
Knight’s\u0026Magic,2022,1,8889,4.7,33,28,50,119,272
KnightsofSidonia,2009,1,2619,4.7,2.2,1,2.4,11,255.4
Kochoki,2021,1,517,4.3,211,219,437,882,1.7
KoihimeMusou,2015,1,2122,4.6,270,152,309,716,3.9
Koikimo,2009,1,7482,4.6,57,11,28,113,1.4
Komori-sanCan'tDecline!,2022,2,521,4.1,50,21,62,303,822
KonoAozoraniYakusokuwo,2017,1,1229,4.3,101,112,456,1.5,6
KonoOtoTomare!:SoundsofLife,2016,1,5368,4.9,56,55,119,211,363
KONOHANAKITAN,2013,1,1656,4.7,24,10,28,95,690
KoroSenseiQuest!,2017,1,537,4.5,21,10,20,56,143
Kotoura-San,2022,2,3117,4.7,22,10,26,51,252
KOWABON,2017,1,144,3.5,767,250,652,2.8,65.2
KumaKumaKumaBear,2012,5,10737,4.8,24,8,15,17,66
Kumamiko-GirlMeetsBear,2013,1,151,3.7,91,61,168,398,1.8
Kuroko'sBasketball,2018,4,12772,4.8,113,83,258,881,8.5
Kyousougiga,2015,1,618,4.6,31,25,90,341,2
Laid-BackCamp,2022,1,7281,4.8,531,106,144,196,673
LanceN'Masques,2018,1,208,3.5,54,34,149,385,1.6
LapisRe:LiGHTs,2018,1,444,4.4,1.3,675,1.4,2.8,13.1
LastPeriod:thejourneytotheendofthedespair,2022,1,245,3.3,17,30,122,241,504
Latenight!TheGeniusBakabon,2022,1,46,3.7,113,45,164,648,14.4
LaughingUndertheClouds,2022,1,1701,4.2,84,39,93,178,651
LBXGirls,2022,1,265,4,20,7,22,57,449
Lee'sDetectiveAgency,2018,4,637,4.1,65,45,157,570,5.2
LegendofMana-TheTeardropCrystal-,2023,1,1570,3.5,35,27,57,188,682
LegendoftheGalacticHeroes:DieNeueThese,2021,2,4584,4.9,14,7,17,28,90
LetMeChecktheWalkthroughFirst,2011,1,1474,3.2,6,6,3,7,28
Let'sMakeaMugToo,2023,1,625,4.3,25,24,49,146,312
LevelE,2018,1,633,4.4,79,11,39,46,167
Liar,2022,1,7768,4.3,61,44,68,309,3.4
LibraofNilAdmirari,2022,1,1147,4.5,258,93,242,547,2.8
LifeLessonswithUramichiOniisan,2010,1,7873,4.7,25,25,44,84,181
LifeWithanOrdinaryGuyWhoReincarnatedIntoaTotalFantasyKnockout,2023,3,11157,4.4,26,14,19,49,217
Lilpri,2015,1,1398,4.6,57,36,216,873,5.4
LinkClick,2022,1,16336,4.8,88,76,180,475,1.4
LiSATV,2014,2,70,4.1,76,66,196,500,1.6
Listeners,2013,3,283,3.8,10,14,14,44,113
Locodol,2018,1,245,4.5,210,148,479,1.7,10.1
LogHorizon,2014,1,12879,4.7,29,10,5,13,52
LordEl-MelloiII'sCaseFiles{RailZeppelin}Gracenote,2018,1,1338,4.7,75,48,93,215,524
LordMarksmanandVanadis,2016,1,7468,4.6,1.2,372,588,545,1.3
LordofVermilion:TheCrimsonKing,2022,1,679,3.4,118,53,125,288,581
LostorageincitedWIXOSS,2022,1,195,4.1,268,60,111,326,7.3
LoveAfterWorldDomination,2017,1,18209,4.7,52,51,135,424,2.6
LoveAllPlay,2013,1,1805,4.1,31,13,11,39,328
LoveisLikeaCocktail,2020,3,3460,4.6,10,6,7,16,96
LoveLab,2014,3,581,4.6,12,7,16,53,424
LoveLive!NijigasakiHighSchoolIdolClub,2023,2,1315,4.5,69,87,233,609,2.2
LoveLive!SchoolIdolProject,2022,2,1124,4.8,42,6,6,15,140
LoveLive!Sunshine!!,2022,1,909,4.7,458,91,103,100,352
LoveLive!Superstar!!,2017,2,1641,4.7,111,125,401,1.4,6.9
LoveofKill,2014,1,10913,4.6,55,29,99,278,2.2
LoveRice,2018,1,126,3.4,35,12,37,108,325
LoveStage!!,2017,1,5358,4.6,42,29,124,451,1.5
LoveTo-LIE-Angle,2015,1,684,4,296,110,335,1.2,5.6
LoveTyrant,2022,1,5294,4.3,31,25,64,129,272
LovelyMuuuuuuuco!,2017,1,127,4,59,42,102,271,755
LuciferandtheBiscuitHammer,2016,1,4905,3.5,35,22,53,246,5
LuckyStar,2022,1,1899,4.8,37,22,67,211,1.3
LUPINTHE3rdPART4,2012,1,283,4.7,17,16,38,72,394
LUPINZERO,2022,1,268,4.6,47,46,142,447,2.4
LycheeLightClub,2018,1,71,3.4,20,20,25,29,50
LycorisRecoil,2022,1,36454,4.8,161,100,327,1,9.1
MaerchenMaedchen,2022,1,180,3.9,21,13,18,40,59
Maesetsu!OpeningAct,2020,3,76,3.5,137,70,250,1,11.3
MAGATSUWAHRHEIT,2016,1,555,4.1,12,14,37,80,475
MagiaRecord:PuellaMagiMadokaMagicaSideStory,2017,1,1795,4.3,130,41,97,405,6.6
Magic-Kyun!Renaissance,2023,1,962,4.5,38,17,37,35,81
MAGICALCIRCLEGURU-GURU,2018,1,163,4.5,26,15,28,75,300
MagicalDestroyers,2016,1,3356,4.2,54,24,41,35,91
MagicalGirlOre,2019,1,943,4.1,9,4,4,5,24
MagicalGirlRaisingProject,2019,1,1118,4.1,181,41,88,286,1.1
MagicalGirlSpec-OpsAsuka,2015,1,800,4.3,25,18,27,63,132
MagicalSempai,2010,1,2551,4.4,87,30,42,74,404
MagicalSomera-chan,2014,2,84,3.9,281,168,245,229,647
MagiciansAcademy,2022,1,653,4.2,56,22,61,204,4.2
MagimojiRurumo,2016,2,311,4.4,423,124,170,196,561
MahjongSoulPon?,2016,1,415,4.2,39,15,51,112,408
MahouShoujoNanteMouiidesukara,2018,2,154,3.7,3,10,73,185,362
MahouShoujo?NariaGirls,2013,1,181,2.3,343,344,719,1.3,5.1
MAJOR2nd,2017,1,491,4.5,24,31,87,217,788
MakaiOuji:DevilsandRealist,2017,1,949,4.2,145,78,200,755,6.7
Maken-ki!,2015,1,2694,4.4,515,246,713,2,7.7
Makeruna!!AkunoGundan!,2023,1,38,3.4,25,23,52,310,988
makuranodanshi,2013,1,534,3.1,379,78,191,750,14.9
MalevolentSpirits:Mononogatari,2013,1,8305,4.7,13,2,2,2,51
Mangirl!,2017,1,89,3.8,20,30,42,79,112
Maoyu,2022,1,3938,4.6,6,7,15,54,163
MARGINAL#4theAnimation,2021,1,146,4.2,195,154,492,1.6,10.4
MARSRED,2023,2,1207,4.3,23,18,62,167,1.1
MarudaseKintaro,2023,1,789,2.9,130,112,381,1.2,5.6
Masamune-kun'sRevenge,2023,1,32448,4.4,130,78,128,101,242
MASHLE:MAGICANDMUSCLES,2018,1,66069,4.8,17,12,23,34,109
ME\u0026ROBOCO,2019,1,927,3.5,372,247,733,2.4,14.4
MEGALOBOX,2017,1,5727,4.7,138,98,213,372,984
MeijiTokyoRenka,2018,1,3105,4.6,78,42,158,480,2.7
MeowMeowJapaneseHistory,2023,1,272,4.2,11,13,20,89,448
MercStoriA:TheApatheticBoyandtheGirlinaBottle,2019,1,316,4.2,86,31,43,125,1
MFGHOST,2023,1,7034,4.9,21,11,26,76,990
Midnightoccultcivilservants,2023,1,1564,4.5,20,15,29,87,758
Mieruko-chan,2017,1,14128,4.7,54,16,38,105,1.4
Migi\u0026Dali,2015,1,2469,4.5,244,209,593,1.8,8.1
MikaguraSchoolSuite,2022,2,315,4.1,19,28,14,14,51
Military!,2015,1,188,3.8,184,79,230,765,4.1
MillionArthur,2017,1,398,3.4,62,48,78,156,340
MillionDoll,2014,1,87,2.6,238,165,459,1.1,3.3
MinamiKamakuraHighSchoolGirlsCyclingClub,2020,1,230,4.4,21,4,7,20,75
MischievousKiss-LoveinTokyo,2014,2,1045,4.2,844,513,739,856,2
MischievousKiss-TheMovie,2016,1,206,3.9,53,10,39,153,1.6
MischievousKiss2-LoveinTokyo,2022,1,418,4.7,7,8,9,29,230
MissBernardsaid.,2017,3,156,4,15,2,8,24,219
MissCaretakerofSunohara-sou,2022,1,1569,4.5,17,6,8,9,31
MissKobayashi'sDragonMaid,2013,3,26458,4.8,469,210,625,2.4,32.7
MissKUROITSUfromtheMonsterDevelopmentDepartment,2022,1,3377,4.3,18,11,27,39,85
MissMonochrome-TheAnimation,2018,1,250,4.1,12,9,15,10,30
MissShachikuandtheLittleBabyGhost,2023,2,1503,4.6,40,19,63,134,299
MitchiriNeko,2016,4,150,4.4,101,70,157,289,1.2
MIX,2017,1,968,4.2,25,17,81,201,638
MizunoKotoba,2021,2,314,3.6,7,3,10,19,124
MobPsycho100,2017,3,69307,4.9,281,150,256,445,2.2
MobileFighterGGundam,2015,2,877,4.6,103,48,63,152,577
MobileSuitGundam,2023,1,1903,4.7,87,61,129,257,584
MOBILESUITGUNDAM00,2022,1,1831,4.8,38,33,70,179,480
MobileSuitGUNDAMIronBloodedOrphans,2017,1,4304,4.8,99,77,261,491,1.6
MobileSuitGundamNarrative,2023,1,324,4.3,7,10,8,16,43
MobileSuitGundamSeed,2019,1,1351,4.6,53,16,46,153,385
MobileSuitGundamSeedDestiny,2016,1,847,4.4,15,7,20,63,206
MOBILESUITGUNDAMTHEORIGIN,2017,1,432,4.8,31,17,46,72,249
MOBILESUITGUNDAMTHEORIGINAdventoftheRedComet,2022,1,1119,4.8,19,17,22,24,72
MOBILESUITGUNDAMUNICORNRE:0096,2023,1,867,4.6,101,19,15,5,41
MobileSuitGundamWing,2022,1,2256,4.7,21,9,27,94,340
MobileSuitGundamWingENDLESSWALTZ,2023,1,1169,4.8,62,40,79,195,573
MobileSuitGundamZZ,2018,1,444,4.2,149,63,195,397,1.9
MobileSuitGundam:CucuruzDoan'sIsland,2020,1,490,4.7,8,5,5,5,15
MobileSuitGundam:TheWitchfromMercury,2017,1,17852,4.7,177,38,74,54,191
MobileSuitZetaGundam,2016,6,555,4.6,165,99,259,969,6.8
MoeyoKen,2021,1,117,4,6,10,17,23,33
MonsterGirlDoctor,2022,1,8734,4.5,55,55,188,618,3
MonsterHunterStoriesRideOn,2022,1,225,4.1,10,7,18,27,84
MonsterStrike,2011,1,297,3.5,51,54,126,282,694
MonsterStriketheMovie:LuciferDawnofDespair,2012,2,107,3.4,335,63,53,58,280
MorethanaMarriedCouple,2020,1,47346,4.8,1.7,1.1,2.4,5.7,21.6
MoriartythePatriot,2015,4,11666,4.8,889,523,1.5,5,58.2
MoritasanwaMukuchi,2018,1,426,4.3,297,19,51,76,484
Moyashimon,2018,1,159,4.5,83,68,186,742,4.6
MrLove:Queen'sChoice,2018,1,1606,4.3,63,52,149,520,2.3
Mr.Osomatsu,2018,2,942,4.7,38,9,9,26,190
Mr.TONEGAWAMiddleManagementBlues,2018,1,256,4.4,16,19,37,70,174
Ms.KoizumiLovesRamenNoodles,2013,1,566,4.2,98,46,84,200,6.6
Ms.Vampirewholivesinmyneighborhood.,2022,1,1317,4.6,26,23,110,326,1.1
Muhyo\u0026Roji'sBureauofSupernaturalInvestigation,2022,2,565,4.3,242,169,478,1.8,11.5
MurderPrincess,2010,1,441,4.3,148,46,95,234,1.9
Muromi-san,2013,1,171,4.4,30,9,37,53,186
Musasi-no,2023,2,544,2.6,24,13,29,31,91
MUSHI-SHI,2018,1,6160,4.8,92,29,62,57,158
Mushi-Uta,2022,1,732,4.6,31,13,20,3,20
Mushibugyo,2021,1,621,4.6,7,11,14,53,145
MushokuTensei:JoblessReincarnation,2014,1,131340,4.8,157,13,30,102,743
MusicGirls,2023,1,158,3.8,33,8,17,27,121
MUTEKINGTHEDancingHERO,2023,1,80,3.2,20,3,10,34,351
Muv-LuvAlternative,2022,1,2525,4.1,9,17,22,32,76
MyBrideisaMermaid,2023,1,498,4.7,74,32,78,207,1.2
MyCluelessFirstFriend,2023,3,9529,4.9,505,193,550,2.2,23
MyDaughterLefttheNestandReturnedanS-RankAdventurer,2023,1,5361,4.5,237,113,293,619,2.1
MyDress-UpDarling,2012,1,102187,4.9,18,15,21,62,134
MyFirstGirlfriendisaGal,2015,1,10642,4.3,48,30,66,187,1.2
MyHeroAcademia,2023,1,153569,4.7,6,6,10,23,105
MyHomeHero,2013,1,6839,4.6,105,26,41,151,645
MyLittleMonster,2023,1,11781,4.6,61,20,43,56,134
MYloveSTORY!!,2021,2,10855,4.8,858,398,901,3.9,63.3
MyLoveStorywithYamada-kunatLv999,2023,1,57430,4.9,22,17,44,106,688
MyMentalChoicesareCompletelyInterferingwithmySchoolRomanticComedy,2019,1,2268,4.3,33,18,74,281,1.5
MyNewBossisGoofy,2023,1,4483,4.9,23,17,44,187,1.6
MyNextLifeasaVillainess:AllRoutesLeadtoDoom!,2018,2,20170,4.7,52,34,73,318,3.8
MyOne-HitKillSister,2022,1,11061,4.1,21,9,23,61,210
MyRoommateisaCat,2018,1,4404,4.8,45,24,68,171,1
MySenpaiIsAnnoying,2023,1,4582,4.7,38,27,62,148,572
MySister,2023,1,1001,3.8,11,2,10,33,376
MyStepmom'sDaughterIsMyEx,2015,4,22231,4.4,15,9,31,88,976
MySweetTyrant,2016,1,2007,4.5,19,18,45,143,642
MyTinySenpai,2009,1,8333,4.5,42,32,102,281,1.8
MyUniqueSkillMakesMeOPevenatLevel1,2019,1,20963,4.4,22,12,26,95,1
MyWifeistheStudentCouncilPresident,2019,1,4263,4.4,27,12,58,79,268
MyriadColorsPhantomWorld,2014,1,3455,4.4,8,10,12,62,398
Myself;Yourself,2016,1,5066,4.6,575,218,423,1.2,15.4
MYSTERIAFriends,2009,9,1101,4.5,25,7,23,48,452
NAMUAMIDABUTSU!-UTENA-,2017,17,128,4.1,14,8,14,11,70
Nanana'sBuriedTreasure,2012,1,759,4.2,243,204,520,1.6,6.1
NANBAKA,2022,1,3631,4.7,27,10,19,35,134
Naruto,2011,1,55614,4.7,71,21,29,33,143
NarutoShippuden,2016,2,129345,4.7,36,4,4,10,53
NARUTOSpin-Off:RockLee\u0026HisNinjaPals,2017,1,1980,4.3,514,248,810,2.8,43
NatsumeYujin-cho,2016,1,9855,4.8,121,62,189,768,10.5
NatsumeYujin-cho4,2022,1,1559,4.9,17,19,39,87,264
NatsumeYujin-cho5,2009,2,1034,4.9,4,4,9,34,108
NatsumeYujin-cho6,2017,1,1232,5,68,68,188,325,957
Nazotokine,2016,2,89,2.7,34,13,16,76,803
Nekopara,2022,1,1376,4.5,15,7,16,39,179
NeoAngeliqueAbyss,2023,1,3541,4.5,27,32,52,147,308
NetsuzouTrap-NTR-,2021,1,2881,3.2,33,16,70,198,1
NEWGAME!,2023,1,2930,4.7,23,18,50,123,351
Nichijou-MyOrdinaryLife,2023,1,6057,4.9,19,12,41,100,269
NieR:AutomataVer1.1a,2020,1,20877,4.8,10,6,10,30,115
NIGHTHEAD2041,2016,3,891,4.3,252,49,68,30,145
NIJIYONANIMATION,2015,1,556,4.2,72,41,95,339,5.6
NingenFushin:AdventurersWhoDon'tBelieveinHumanityWillSavetheWorld,2022,1,17206,4.4,16,19,44,118,535
NinjaCollection,2020,1,195,2.7,13,10,44,95,459
NinjaGirl\u0026SamuraiMaster,2016,1,180,4.7,2.6,771,1.5,5.4,121.1
NINJASLAYERFROMANIMATION,2014,1,40,3.5,21,13,21,22,81
NoGunsLife,2019,2,1851,4.6,22,10,9,8,31
Noblesse,2017,1,11984,4.6,262,103,279,483,1.4
Noblesse:Awakening,2013,1,2564,4.6,10,4,21,37,426
NobunagaConcerto,2022,2,648,4.6,68,62,178,603,8.6
Nobunagateacher'syoungbride,2019,1,1849,3.3,208,119,267,704,4.1
Noein:ToYourOtherSelf,2022,1,271,4.4,1.1,317,1.1,5.4,94.2
NonNonBiyori,2016,1,2333,4.8,725,290,850,2.2,6.6
Noragami,2017,1,18659,4.8,3.5,1.1,3.6,13.8,131.5
Null\u0026Peta,2021,1,166,4,167,129,308,931,5.3
number24,2012,4,972,4.5,182,167,672,2.1,8.6
Nyanbo!,2020,1,115,3.9,115,56,240,942,9.5
NyankoDays,2021,2,544,4.5,400,231,765,3.2,52.9
Nyanpire-TheVampireCat,2023,1,350,4.3,109,80,203,520,1.4
Nyarko-san:AnotherCrawlingChaos,2020,2,1379,4.4,82,16,52,127,4.2
OdaCinnamonNobunaga,2016,1,423,4.3,266,200,703,2.4,16.6
ODDTAXI,2017,1,9998,4.8,1.1,526,929,1.9,6.6
OFFSIDE,2017,1,144,3.8,22,22,100,385,3.9
Oh,2017,1,604,4.3,98,33,117,538,3.8
OjisanandMarshmallow,2023,15,873,4.5,143,79,117,206,456
Okami-sanandHerSevenCompanions,2019,2,1402,4.4,1.1,493,1.3,3.7,15.6
OmamoriHimari,2014,1,855,4.5,60,49,144,425,1.3
OnaraGoro,2017,3,500,3.4,361,194,435,1.1,6.2
OnePiece,2021,2,361813,4.9,833,798,1.7,2.8,14.8
One-PunchMan,2020,2,44992,4.8,276,114,281,659,2.9
Onee-changaKita,2016,1,1109,4.3,99,89,277,758,2.2
OneRoom,2016,1,702,3.6,74,59,266,1.2,3.5
ONIHEI,2014,1,444,4.7,29,40,72,163,797
OnyxEquinox,2014,1,2278,4.3,9,9,15,27,68
Ooya-sanwaShishunki!,2023,1,363,4.3,51,23,71,163,451
Orange,2022,1,12664,4.7,76,45,132,373,3
ORECABATTLE,2021,1,45,3.6,1.4,353,1.2,5.9,46.8
OrenchinoFuroJijo,2011,1,3385,4.4,3.3,922,2.7,13.2,109.3
ORGUSS,2022,1,122,4.1,182,42,133,251,1.4
ORIENT,2010,1,15087,4.4,77,45,199,1.3,8.3
Osamake:RomcomWhereTheChildhoodFriendWon'tLose,2023,1,5474,4,9,3,18,81,1.4
Otalku,2022,1,36,2.5,3,2,14,33,982
OthersidePicnic,2021,1,985,4.6,3,2,6,24,1.2
OtomeYokaiZakuro,2022,5,2019,4.6,28,16,19,7,19
OurDatingStory:TheExperiencedYouandTheInexperiencedMe,2023,1,8388,4.6,71,28,81,159,1
OurLastCrusadeortheRiseofaNewWorld,2016,1,6303,4.6,71,69,225,792,2.4
OvertheSky,2016,1,487,3.8,897,175,342,338,1.1
Overlord,2023,1,79102,4.8,32,27,93,418,2.4
OVERTAKE!,2022,1,2945,4.8,64,25,96,263,5.6
OZMAFIA!!,2022,1,134,3.4,437,214,518,1.3,18.4
PandePeace!,2014,1,235,4.1,47,33,75,202,534
ParadoxLiveTHEANIMATION,2019,1,1471,4.3,66,15,36,66,373
ParallelWorldPharmacy,2019,1,31085,4.8,510,655,1.6,3.4,11
ParanoiaAgent,2021,1,1934,4.5,81,28,12,25,49
Parasyte-themaxim-,2011,1,26515,4.8,4,3,4,23,146
PastelMemories,2014,1,77,3.6,11,1,3,7,18
PEACEMAKERKUROGANE,2023,1,193,3.9,38,30,86,292,1.4
PeachBoyRiverside,2012,1,4598,3.9,267,208,563,1.7,9.3
PeepingLife,2022,1,187,3.1,80,35,105,275,2.1
Persona4theGoldenANIMATION,2018,1,778,4.3,32,10,24,82,500
PERSONA5theStage,2010,1,490,3.3,470,159,225,301,694
PES:PeaceEcoSmile,2017,1,45,3.1,13,12,22,35,189
PhantasyStarOnline2:EpisodeOracle,2017,2,334,4.2,32,13,41,153,2.1
PhantomintheTwilight,2014,1,1166,4.2,115,89,375,1.7,16.4
PhantomThiefReinya,2018,1,197,4.1,11,13,24,28,90
Piacevole,2022,2,129,4.2,31,23,53,155,710
Pikotaro'sLULLABYLALABY,2015,1,142,3.4,20,6,8,16,65
PingPongtheAnimation,2022,1,1099,4.8,13,18,41,76,396
PlanetWith,2022,1,363,4.3,22,14,28,53,233
Planetarian,2016,1,502,4.7,69,31,91,230,958
PlasticMemories,2022,1,10658,4.8,23,19,30,67,284
PlatinumEnd,2012,1,11611,3.8,129,46,123,632,9.1
PlayItCool,2022,1,5500,4.8,25,8,13,16,82
Pleasetellme!Galko-chan,2018,4,781,4.5,58,21,39,73,413
